,MergeSort,SelectionSort
1,89,84
2,146,86
3,504,92
4,151,86
5,137,88
6,162,91
7,184,94
8,205,101
9,205,102
10,232,106
11,254,109
12,274,114
13,299,102
14,298,49
15,294,62
16,575,70
17,288,78
18,331,83
19,332,85
20,357,89
21,405,106
22,409,120
23,482,125
24,524,127
25,541,132
26,574,172
27,579,168
28,585,172
29,610,193
30,633,207
31,649,216
32,681,227
33,679,246
34,706,254
35,732,268
36,762,288
37,779,297
38,813,326
39,835,339
40,871,355
41,891,376
42,946,386
43,936,408
44,985,420
45,1056,461
46,1050,460
47,1084,475
48,1263,507
49,1045,532
50,1103,553
51,1054,582
52,1072,605
53,1092,637
54,1102,662
55,1138,686
56,1140,718
57,1182,753
58,1217,792
59,1216,815
60,1246,843
61,1252,871
62,1275,904
63,1338,933
64,1282,967
65,1553,995
66,1279,1031
67,1294,1065
68,1306,1098
69,1337,1139
70,1389,1171
71,1384,1197
72,1397,1238
73,1422,1273
74,1431,1301
75,1455,1339
76,1473,1386
77,1514,1417
78,1809,1458
79,1551,1500
80,1564,1541
81,1598,1582
82,1769,1619
83,1635,1668
84,1655,1700
85,1690,1738
86,1746,1787
87,1771,1835
88,1783,1869
89,2218,1939
90,1828,1957
91,1843,2026
92,1852,2055
93,1887,2088
94,1912,2138
95,1964,2214
96,1974,2248
97,2006,2287
98,2038,2338
99,2344,2398
100,2051,2440
101,2094,2494
102,2111,2535
103,2126,2575
104,2128,2631
105,2186,2701
106,2188,2730
107,2449,2778
108,2706,2841
109,2236,2899
110,2241,2948
111,2263,3003
112,2270,3044
113,2362,3128
114,2339,3154
115,2379,3231
116,2661,3286
117,2388,3339
118,2427,3401
119,2423,3456
120,2461,3534
121,2486,3575
122,2527,3631
123,2892,3689
124,2510,3753
125,2527,3810
126,2556,3876
127,2609,3983
128,2571,3996
129,2621,4060
130,2658,4130
131,2944,4201
132,2677,4241
133,2720,4302
134,2769,4389
135,2796,4456
136,2814,4505
137,3354,4591
138,2836,4642
139,2863,4724
140,2869,4834
141,2886,4858
142,2905,4934
143,2949,5014
144,3379,5079
145,3002,5145
146,3082,5228
147,3062,5302
148,3084,5364
149,3124,5441
150,3563,5517
151,3149,5590
152,3158,5629
153,3216,5522
154,3222,5582
155,3400,5662
156,3674,5732
157,3274,5805
158,3291,5896
159,3375,5944
160,3486,6045
161,3419,6103
162,3445,6223
163,3465,6257
164,3488,6449
165,3550,6590
166,3695,6648
167,3753,6763
168,3547,6801
169,3643,6911
170,3608,6974
171,3665,7064
172,3831,7156
173,3740,7254
174,3796,7324
175,3940,7528
176,3755,7514
177,3936,7623
178,3868,7691
179,3898,7750
180,3996,7855
181,4187,7936
182,4223,8010
183,4063,8084
184,4129,8111
185,4194,8170
186,4288,8294
187,4156,8335
188,4238,8432
189,4404,8527
190,4337,8663
191,4462,8769
192,4313,8904
193,4336,8991
194,4393,8990
195,4688,9007
196,4372,9139
197,4443,9239
198,4662,9393
199,4568,9458
200,4597,9597
201,4554,9653
202,4698,9774
203,4830,9807
204,4810,9933
205,4629,9994
206,4631,10093
207,4777,10151
208,5009,10316
209,4851,10401
210,4932,10513
211,4790,10597
212,4894,10650
213,4946,10709
214,5197,10821
215,5319,10957
216,5122,11070
217,4948,11207
218,4969,11284
219,4997,11394
220,4954,11399
221,5018,11557
222,5248,11700
223,5038,11726
224,5230,11858
225,5258,12032
226,5399,12136
227,5356,12212
228,5313,12355
229,5264,12392
230,5433,12526
231,5601,12604
232,5564,12748
233,5370,12818
234,5362,12885
235,5855,13043
236,5349,13139
237,5439,13237
238,5457,13418
239,5566,13463
240,5442,13587
241,5758,13679
242,5780,13848
243,5667,13918
244,5637,14025
245,5900,14173
246,6097,14268
247,5635,14321
248,5683,14543
249,5876,14623
250,5952,14744
251,5734,14838
252,5741,14901
253,6026,15030
254,5857,15118
