273,120
691,186
928,194
1244,255
1554,334
2273,491
2339,546
3811,753
2222,789
2534,982
2785,1095
643,1307
637,1609
624,1661
678,1847
785,2142
755,1094
775,524
844,566
881,658
1131,669
982,741
1269,777
1172,887
1155,1322
1158,980
1185,1026
1265,1065
1297,1110
1399,1221
1346,1235
1382,1453
1480,1431
1523,1511
1459,1697
1607,1731
1564,1802
1652,1869
1773,1862
1779,1973
1845,2114
2025,2140
2071,2202
1876,2723
2118,2493
1959,2507
2041,2737
2036,2743
2086,2880
2174,3180
2156,2983
2182,3128
2304,3333
2415,3611
2418,3736
2362,3503
2468,3668
2551,4208
2548,4418
2682,4030
2732,4446
14253,4130
2699,4523
2720,4644
2871,4542
2868,5080
3183,5229
3008,5225
3150,5631
3131,5234
3293,5885
3183,5405
3311,5936
3300,6136
3318,6333
3714,6342
3486,6136
3582,6289
3706,12028
3646,12414
3829,12359
3875,18430
3652,12490
3711,11028
3838,11240
3861,11741
4058,14077
3949,13833
4879,13119
2592,13492
2629,14064
2541,17705
2836,18145
2678,16276
2693,16284
2698,15769
3050,18488
2805,16422
2722,1315
14756,1198
2842,1131
2854,1162
2892,1175
2833,1166
2992,1589
3029,1259
3073,1300
2911,1324
3009,1327
3075,1386
3113,1442
3070,1461
3204,1478
3121,1462
4856,1518
3290,1601
3337,1604
3410,1657
3755,1672
3391,2943
3329,1643
3329,1730
3334,1762
3375,1784
3508,1847
14970,1922
3422,1846
3467,1920
3555,1967
3792,1982
3813,2107
3605,2125
3773,2164
3775,2212
3742,2174
3859,2411
3699,2318
3678,2309
3843,2366
3807,2396
3871,2446
4036,2691
3956,2507
3898,2474
4037,2532
3942,2524
4095,2589
15817,2631
4200,2619
4097,2640
4063,2688
4362,4468
4493,2844
4400,2872
4399,2923
4397,2941
4509,2965
4415,3045
4424,3007
4478,3080
4588,3095
5082,3228
4680,3231
4637,3185
4665,3247
6052,4105
19016,4188
4794,3401
5996,5803
4906,3392
5841,4189
4832,3452
6688,3541
5121,3546
5055,3658
5193,3679
7061,3737
5898,3681
5119,3762
5140,3843
5210,3870
5312,3908
5450,4012
6988,4003
5357,3926
5443,3972
5482,4041
5400,4018
5358,4083
5570,4234
5485,4234
6936,6229
6941,4307
5643,4316
5568,4298
5544,4321
5885,4404
19460,5928
5694,4526
5630,4505
5718,4575
5727,4600
5891,6284
6007,4812
6209,4848
7161,4807
