,MergeSort,SelectionSort
1,73,69
2,149,70
3,238,72
4,211,66
5,250,31
6,238,34
7,245,39
8,290,47
9,281,44
10,317,48
11,366,54
12,403,61
13,1532,147
14,503,102
15,381,78
16,398,84
17,434,92
18,500,103
19,703,112
20,650,122
21,984,136
22,586,142
23,603,147
24,647,168
25,720,175
26,669,183
27,735,196
28,989,205
29,1033,222
30,1044,226
31,1128,262
32,1138,285
33,1165,315
34,1245,326
35,1279,344
36,1306,370
37,1355,373
38,1392,395
39,1482,404
40,1464,425
41,1536,438
42,1504,455
43,1645,482
44,1646,496
45,1765,517
46,1788,569
47,1832,581
48,1846,598
49,2145,635
50,1462,672
51,1513,708
52,1598,724
53,1528,746
54,1601,795
55,1595,829
56,1603,841
57,1651,893
58,1688,922
59,1705,952
60,1733,983
61,1782,1039
62,1814,1074
63,1814,1083
64,1840,1163
65,1953,1188
66,1973,1196
67,1951,1236
68,1960,1263
69,2033,1337
70,2033,1343
71,2059,1383
72,2079,1396
73,2092,1421
74,2127,1468
75,2202,1538
76,2170,1546
77,2228,1597
78,2288,1929
79,2471,1977
80,2353,2014
81,2373,1864
82,2407,1880
83,2411,1941
84,2418,1982
85,2489,2035
86,2505,2064
87,2542,2091
88,2608,2176
89,2621,2177
90,2850,2235
91,2663,2259
92,2728,2328
93,2718,2373
94,2752,2430
95,2790,2502
96,2823,2552
97,2866,2606
98,2891,2643
99,2906,2690
100,3134,2767
101,2968,2841
102,3018,2810
103,3057,2899
104,3022,2917
105,3081,2973
106,3081,2991
107,3088,3035
108,3284,3089
109,3149,3158
110,3230,3269
111,3294,3391
112,3253,3326
113,3260,3329
114,3291,3464
115,3311,3530
116,3500,3618
117,3352,3697
118,3398,3798
119,3392,3851
120,3392,3844
121,3432,3838
122,3453,3919
123,3501,4045
124,3674,4132
125,3524,4219
126,3530,4234
127,3552,4287
128,3588,4321
129,3623,4346
130,3710,4523
131,3891,4606
132,3756,4683
133,3873,4856
134,3886,4868
135,3888,4888
136,3921,4964
137,3986,4999
138,4283,5134
139,4242,5407
140,4069,5197
141,4310,5514
142,4225,5371
143,4221,5328
144,4414,5371
145,4281,5396
146,4354,5512
147,4413,5611
148,4404,5619
149,4521,5751
150,4686,5775
151,4606,5887
152,4607,5900
153,4614,5909
154,4661,5993
155,4684,6044
156,4960,6317
157,4806,6296
158,4762,6279
159,4785,6344
160,4983,6666
161,4896,6525
162,5282,6678
163,5037,6735
164,4983,6682
165,5053,6758
166,5119,6825
167,5237,6898
168,5124,6914
169,5247,7076
170,5294,7175
171,5322,7279
172,5373,7209
173,5293,7283
174,5391,7396
175,5421,7422
176,5416,7408
177,5535,7596
178,5727,7838
179,5587,7637
180,5669,7817
181,5673,7802
182,5845,7931
183,5781,8051
184,5839,8099
185,5894,8222
186,5942,8277
187,6115,8368
188,5939,8373
189,6006,8517
190,6118,8695
191,6162,8603
192,6083,8692
193,6328,9053
194,6331,9058
195,6334,9063
196,6466,9213
197,6354,9084
198,6519,9292
199,6441,9240
200,6564,9420
201,6599,9570
202,6589,9583
203,6563,9609
204,6707,9770
205,6576,9674
206,6639,9781
207,6805,10126
208,6615,9792
209,6949,10014
210,6790,9884
211,6771,9937
212,6771,9958
213,7218,10438
214,6923,10297
215,6956,10358
216,6996,10522
217,7197,10629
218,7124,10738
219,7228,10956
220,7291,11163
221,7408,11207
222,7197,11077
223,7253,11202
224,7293,11320
225,7349,11305
226,7326,11326
227,7406,11478
228,7533,11538
229,7544,11715
230,7478,11672
231,7534,11800
232,7757,12054
233,7620,11997
234,7633,12040
235,7631,12129
236,7760,12290
237,7771,12542
238,7762,12541
239,7833,12561
240,7757,12677
241,7809,12706
242,7786,12734
243,8180,13169
244,7869,13031
245,7893,12981
246,8074,13097
247,7933,12947
248,7910,13054
249,7995,13168
250,8018,13310
251,8040,13454
252,8011,13488
253,8174,13718
254,8152,13924
255,8080,13784
256,8054,13717
257,8237,14205
258,8254,14879
259,8244,15150
260,8346,14931
261,8326,15282
262,8382,15505
263,8562,16053
264,8570,15945
265,8481,15972
266,8478,16053
267,8761,16214
268,8490,16397
269,8579,16603
270,8740,16566
271,8627,16737
272,8740,17274
273,8909,17342
274,8747,17180
275,8723,17323
276,8962,17530
277,8881,17690
278,8920,17771
279,8961,17759
280,8903,17797
281,9170,18348
282,9353,18422
283,9059,18260
284,9124,18355
285,11061,21173
286,9747,19494
287,9358,18827
288,9382,18904
289,9381,19119
290,9411,19268
291,9487,19260
292,9408,19399
293,9493,19922
294,9641,20177
295,9532,20345
296,9630,20822
297,9924,21132
298,9743,21029
299,9611,21009
300,9791,21176
301,9839,21607
302,9958,21557
303,9665,21375
304,9822,21921
305,9953,21897
306,9790,21832
307,9856,22020
308,9955,22078
309,9895,22275
310,9942,22284
311,10165,22705
312,9990,22697
313,10165,22906
314,10033,22919
315,10055,23172
316,10207,23509
317,10140,23406
318,10364,23570
319,10457,23835
320,10292,24284
321,10491,24323
322,10582,24827
323,10487,24270
324,10771,24854
325,10556,24298
326,10673,24070
327,10755,24480
328,10621,24259
329,10847,24691
330,10753,24845
331,11019,25126
332,10707,24705
333,10743,25073
334,10905,24933
335,10716,25616
336,10815,25519
337,10942,25328
338,10985,25262
339,11033,25039
340,10954,24923
341,11090,24972
342,11118,25178
343,11218,25499
344,11556,26215
345,11257,25973
346,11332,25894
347,11246,25996
348,11459,26203
349,11415,26395
350,11587,26848
351,11455,26484
352,11388,26639
353,11715,26990
354,11604,26856
355,11741,27364
356,11871,27974
357,11713,27519
358,11874,27386
359,11732,27526
360,11809,27872
361,11878,27992
362,11978,28010
363,11895,28224
364,11933,28538
365,12015,28619
366,12011,28759
367,12228,29178
368,13741,33071
369,12273,29428
370,12430,29948
371,12537,29733
372,12274,29899
373,12296,29933
