,MergeSort,SelectionSort
1,125,98
2,450,171
3,793,237
4,1157,363
5,505,458
6,276,127
7,313,137
8,321,157
9,1006,187
10,407,204
11,459,231
12,494,249
13,532,281
14,587,322
15,637,360
16,655,383
17,724,426
18,729,470
19,769,512
20,976,578
21,24041,615
22,831,661
23,878,712
24,968,765
25,1070,829
26,1143,882
27,1164,937
28,1231,1004
29,1308,1062
30,1295,851
31,1270,229
32,1222,234
33,1304,238
34,1341,246
35,1365,258
36,1417,268
37,1460,276
38,1513,284
39,1556,294
40,1607,305
41,1670,313
42,1781,324
43,1764,331
44,1817,342
45,1889,354
46,1912,363
47,1967,377
48,2020,385
49,1601,400
50,1164,408
51,1233,419
52,1186,437
53,1301,442
54,1206,457
55,1267,474
56,1325,482
57,1295,499
58,1350,957
59,1424,539
60,1306,537
61,1324,548
62,1405,567
63,1357,577
64,1367,594
65,1414,607
66,1484,617
67,1560,634
68,1531,651
69,1514,665
70,1525,680
71,1789,704
72,1738,715
73,1618,735
74,1624,745
75,1648,762
76,2014,785
77,1839,785
78,1751,836
79,1928,813
80,1847,839
81,1909,844
82,1793,860
83,1849,885
84,1957,915
85,2397,1072
86,2195,1213
87,2108,1034
88,2057,1066
89,2212,1029
90,3180,1023
91,2675,1189
92,2392,1146
93,2478,1068
94,2466,1101
95,2457,1112
96,2930,1140
97,2656,1184
98,2663,1184
99,2692,1194
100,2654,1337
101,2722,1251
102,3050,1291
103,2593,1400
104,2528,1310
105,2563,1330
106,2656,1378
107,2751,1435
108,17737,1407
109,2200,1415
110,2174,1411
111,2113,1416
112,2135,1437
113,2235,1477
114,2210,1502
115,2286,1548
116,2267,1559
117,2275,1565
118,2301,1600
119,2261,1608
120,2385,1727
121,2332,1659
122,2543,1844
123,2913,1939
124,2811,2051
125,2662,1910
126,2483,1868
127,2503,1872
128,2587,1964
129,2680,2183
130,2845,1987
131,2610,2000
132,2572,2011
133,2742,2102
134,2694,2098
135,2716,2107
136,2830,2155
137,2764,2199
138,3085,2266
139,3308,2261
140,3447,2300
141,4339,2390
142,3263,2337
143,3172,2399
144,2925,2418
145,3019,2501
146,3293,2524
147,3660,2533
148,3622,2569
149,3614,2645
150,3259,2598
151,3532,2545
152,3645,2608
153,3687,2624
154,3752,2669
155,3775,2708
156,4073,2742
157,3839,2789
158,3905,2821
159,3978,2844
160,3955,2880
161,4667,3227
162,4353,3106
163,4823,3097
164,4105,3148
165,4431,3219
166,4522,3199
167,4318,3262
168,4484,3301
169,4570,3335
170,4533,3411
171,4524,3496
172,4641,3494
173,4771,3515
174,4637,3700
175,5990,4115
176,4528,3523
177,4614,3535
178,4498,3595
179,4410,3660
180,4512,3689
181,4578,3735
182,4537,3774
183,4661,3814
184,4670,3854
185,5048,4472
186,5634,4451
187,4892,4111
188,5219,4223
189,5285,4180
190,5067,4308
191,5185,4278
192,5425,4466
193,5462,4716
194,6584,4720
195,5547,4876
196,5635,4703
197,5574,4583
198,5309,4642
199,5409,4547
200,5301,4575
201,5378,4731
202,5181,4868
203,5531,4850
204,5174,4939
205,5216,4887
206,5318,4905
207,5137,4957
208,5311,4992
209,5215,5142
210,6998,5768
211,5589,5108
212,5814,5222
213,5466,5183
214,5591,5307
215,5505,5306
216,5675,5359
217,5752,5436
218,5619,5536
219,5757,5498
220,5837,5656
221,5592,5798
222,5813,5725
223,5822,5871
224,6481,6225
225,7136,6267
226,6638,6087
227,6338,6139
228,6104,6110
229,6404,6354
230,5999,6168
231,6226,6280
232,6209,6296
233,6249,6416
234,6340,6370
235,6290,6530
236,6222,6518
237,6837,6726
238,7396,7331
239,6375,6612
240,6256,6915
241,6402,6764
242,6450,7005
243,6662,7049
244,6652,6983
245,6759,7092
246,6525,7074
247,6781,7156
248,6740,7256
249,6571,7319
250,6663,7434
251,6582,7373
252,6499,7506
253,7010,7636
254,6734,7620
255,7117,7757
256,6981,7803
257,6801,7757
258,7190,7877
259,6709,7887
260,6602,7949
261,6881,8035
262,9046,9221
263,7062,8404
264,7249,8415
265,7359,8462
266,7446,8640
267,7436,9029
268,7173,8445
269,7017,8484
270,7033,8557
271,7166,8591
272,7552,8794
273,8123,9318
274,7191,8875
275,7722,8983
276,7479,9026
277,7468,9044
278,7681,9137
279,7463,9127
280,7703,9372
281,7519,9352
282,7733,9285
283,8507,10626
284,8095,9361
285,7805,9527
286,7663,9621
287,7494,9628
288,7471,9690
289,7558,9745
290,7667,9876
291,7709,9852
292,7537,9952
293,7748,10098
294,7849,10044
295,7929,10324
296,8420,10606
297,7757,10363
298,7792,10318
299,8094,10379
300,8421,10974
301,8631,10747
302,9102,11348
303,9638,10964
304,8552,10916
305,8388,10882
306,8474,11179
307,8150,11042
308,8485,11196
309,8270,11205
310,8495,11145
311,8472,11259
312,8357,11288
313,21310,11508
314,6837,11693
315,6757,11554
316,6698,11567
317,6658,11616
318,6685,11801
319,6814,11831
320,6779,11984
321,6842,12095
322,6797,12065
323,6890,12232
324,7211,12295
325,7810,12449
326,7065,12592
327,7720,13237
328,6984,12459
329,7001,12579
330,7040,12570
331,7607,12712
332,8157,12879
333,7831,13083
334,7317,13115
335,8017,13235
336,8374,13128
337,7484,13250
338,7600,13295
339,7847,13397
340,7650,13924
341,7992,13556
342,7512,13802
343,8172,14075
344,8003,14179
345,8192,14010
346,8247,14157
347,8101,14097
348,7885,14282
349,8989,14523
350,9060,14324
351,8065,14482
352,8856,14359
353,7776,14492
354,8100,14579
355,7977,14831
356,8458,14847
357,8010,15115
358,8338,14904
359,8777,15375
360,8877,16504
361,8397,15070
362,8137,15110
363,8963,15195
364,9985,15472
365,9323,15467
366,9627,15480
367,9555,15610
368,7922,15660
369,9026,15772
370,10225,16112
371,9000,16201
372,8740,16275
373,8147,16320
374,8731,16142
375,9787,16502
376,10088,16394
377,10152,16716
378,9964,16550
379,10028,16911
380,8706,16681
381,8756,16737
382,9040,16932
383,8687,16992
384,8830,17224
385,9796,17201
386,8690,17412
387,10522,17576
388,9536,17425
389,10821,17816
390,10548,18150
391,10295,18177
392,10323,18068
393,10047,18298
394,10041,18317
395,10740,18481
396,9345,18271
397,9580,19578
398,9414,18895
399,10416,18671
400,11143,19730
401,10527,18674
402,10557,18716
403,10584,18980
404,8898,19085
405,8906,19168
406,9668,19271
407,9914,19446
408,9321,19262
409,9757,19572
410,9598,19533
411,9870,19502
412,10052,19535
413,11084,19820
414,10366,19740
415,10085,19929
416,10065,19997
417,10937,20261
418,10523,20228
419,10394,20132
420,11145,20548
421,11947,20774
422,11250,20360
423,12309,20976
424,11272,20860
425,24094,21142
426,9378,20888
427,9344,20869
428,9240,21300
429,9822,22075
430,9327,21345
431,9430,21476
432,9331,21508
433,9357,21649
434,9547,21913
435,9577,21796
436,9497,21920
437,9487,21890
438,9442,22214
439,9496,22405
440,9526,22302
441,9542,22514
442,9600,22416
443,9487,22539
444,10361,23930
445,9744,23112
446,9805,23346
447,9538,23100
448,9692,23027
449,10145,24265
450,9700,23265
451,9870,23920
452,10432,24281
453,10234,23993
454,9972,23752
455,9765,23687
456,10229,24684
457,9901,23945
458,10099,24264
459,9975,24513
460,10577,25093
461,10075,24480
462,10157,24499
463,10034,24611
464,9884,24727
465,10047,24770
466,10127,25009
467,10271,25379
468,10116,25392
469,10429,25381
470,10357,25260
471,10295,25412
472,10337,25466
473,10234,25607
474,10424,25873
475,10588,26183
476,10579,26787
477,10365,26145
478,10328,26133
479,10870,27279
480,10411,26725
481,10227,26510
482,10931,27279
483,10484,26998
484,10592,26982
485,10634,26798
486,10824,26874
487,10591,27141
488,10615,27492
489,10674,27207
490,10642,27524
491,10719,27579
492,10538,27647
493,10723,28099
494,10928,27928
495,10597,27849
496,10490,28208
497,10738,28690
498,10650,28475
499,10984,28924
500,10718,28642
