,MergeSort,SelectionSort
1,117,100
2,330,85
3,161,120
4,180,103
5,207,116
6,246,127
7,262,140
8,267,161
9,259,117
10,262,111
11,297,110
12,344,117
13,340,118
14,350,122
15,388,128
16,401,133
17,414,138
18,445,142
19,426,148
20,437,154
21,439,160
22,513,165
23,494,178
24,514,188
25,512,183
26,547,199
27,539,199
28,580,207
29,592,208
30,748,216
31,734,223
32,738,233
33,726,241
34,776,253
35,797,259
36,2021,276
37,675,279
38,732,296
39,713,298
40,732,310
41,756,321
42,776,332
43,794,342
44,819,354
45,962,365
46,1153,377
47,949,390
48,967,401
49,937,413
50,969,431
51,1269,440
52,1241,451
53,1252,471
54,1286,479
55,1336,497
56,1319,506
57,1357,527
58,1401,542
59,1382,552
60,1420,569
61,1433,585
62,1570,585
63,1416,546
64,1472,557
65,1504,583
66,1534,590
67,1636,611
68,1558,635
69,1640,650
70,1611,678
71,1646,706
72,1669,719
73,1747,747
74,1774,768
75,1772,793
76,1831,811
77,1779,808
78,1811,844
79,1947,876
80,1882,882
81,1872,919
82,1904,936
83,1976,968
84,2046,996
85,2083,1018
86,2034,1040
87,2041,1069
88,2103,1091
89,2186,1126
90,2194,1158
91,2233,1182
92,2230,1205
93,2326,1219
94,2376,1286
95,2394,1296
96,2355,1330
97,2403,1362
98,2471,1398
99,2557,1461
100,2648,1504
101,2534,1478
102,2632,1561
103,3996,1630
104,2150,1614
105,2116,1594
106,2172,1647
107,2197,1708
108,2234,1760
109,2643,1746
110,2335,1837
111,2303,1910
112,2293,1955
113,2352,2024
114,2329,2036
115,2361,2074
116,2372,2095
117,2423,2130
118,2397,2160
119,2444,2192
120,2426,2240
121,2497,2281
122,2552,2314
123,2488,2354
124,2542,2423
125,2554,2469
126,2581,2501
127,2600,2565
128,2587,2607
129,2638,2650
130,2688,2677
131,2750,2692
132,2693,2739
133,2745,2806
134,2789,2861
135,2928,2899
136,2789,2955
137,2834,3001
138,2896,3038
139,2920,3090
140,4353,3100
141,2768,3179
142,2824,3218
143,2811,3242
144,2874,3303
145,2952,3395
146,2946,3411
147,2964,3454
148,2962,3511
149,2996,3554
150,3037,3573
151,3033,3621
152,3059,3651
153,3068,3705
154,3144,3797
155,3140,3839
156,3130,3854
157,3179,3941
158,3197,3961
159,3220,4023
160,3221,4042
161,3284,4118
162,3293,4167
163,3304,4198
164,3461,4253
165,3513,4305
166,3496,4382
167,3520,4435
168,3510,4500
169,5336,4504
170,3838,4548
171,3531,4612
172,3563,4672
173,3565,4732
174,3640,4805
175,3672,4857
176,3641,4938
177,3702,4969
178,3754,5015
179,3764,5051
180,3811,5086
181,3849,5151
182,3867,5217
183,3965,5292
184,4020,5334
185,4026,5402
186,4042,5436
187,4079,5509
188,4054,5573
189,4031,5632
190,4076,5659
191,4116,5735
192,4147,5861
193,5497,5856
194,4176,5891
195,4195,5977
196,4208,6016
197,4222,6091
198,4334,6215
199,4348,6263
200,4310,6306
201,4338,6346
202,4386,6392
203,4391,6462
204,4446,6569
205,4419,6588
206,4445,6628
207,4460,6669
208,4466,6754
209,4529,6819
210,4547,6882
211,4643,6951
212,4641,7005
213,4667,7094
214,6492,7138
215,4700,7177
216,4702,7225
217,4738,7296
218,4754,7370
219,4764,7425
220,4724,7496
221,4757,7574
222,4812,7606
223,4778,7665
224,4798,7730
225,4939,7800
226,4998,7853
227,5016,7937
228,5031,8018
229,5062,8081
230,5129,8169
231,5171,8197
232,5376,8260
233,5196,8322
234,6909,8384
235,5230,8574
236,5155,8560
237,5124,8586
238,5165,8655
239,5214,8804
240,5218,8854
241,5276,8911
242,5239,8959
243,5277,9052
244,5397,9075
245,5397,9145
246,5478,9204
247,5465,9309
248,5645,9346
249,5760,9499
250,5762,9488
251,7684,9615
252,5504,9636
253,5501,9733
254,5518,9773
255,5556,9887
256,5526,9937
257,5642,10041
258,5604,10041
259,5663,10209
260,5711,10200
261,5817,10323
262,5872,10436
263,5760,10471
264,5798,10468
265,5864,10646
266,5906,10688
267,5842,10761
268,7197,10808
269,5886,11047
270,5886,10941
271,5895,11070
272,5891,11107
273,5903,11188
274,6015,11288
275,6063,11355
276,6097,11426
277,6178,11501
278,6289,11561
279,6508,11659
280,6475,11734
281,6535,11849
282,6579,11865
283,9003,11977
284,6227,12059
285,6224,12159
286,6199,12170
287,6197,12272
288,6223,12352
289,6281,12457
290,6447,12531
291,6464,12738
292,6384,12660
293,6468,12756
294,6505,12901
295,6544,12928
296,6501,12989
297,6647,13084
298,8554,13147
299,6583,13325
300,6557,13343
301,6562,13417
302,6615,13455
303,6586,13619
304,6643,13645
305,6792,13789
306,6815,13858
307,6855,13904
308,6984,13966
309,7222,14093
310,7365,14193
311,7312,14323
312,9259,14307
313,6972,14550
314,7013,14552
315,6953,14605
316,6971,14725
317,7005,14891
318,7022,14841
319,7193,14977
320,7141,15073
321,7178,15183
322,7442,15214
323,7581,15365
324,7632,15364
325,9644,15444
326,7240,15557
327,7293,15760
328,7275,15676
329,7488,15871
330,7484,15949
331,7495,16078
332,7731,16065
333,7932,16222
334,7497,16323
335,7405,16342
336,7472,16443
337,9028,16691
338,7598,16620
339,7633,16754
340,7654,16805
341,7639,16923
342,7861,16982
343,7848,17165
344,8099,17130
345,8265,17301
346,8322,17329
347,8357,17518
348,8452,17540
349,11041,17765
350,7929,17703
351,8010,17943
352,8004,17892
353,8107,17572
354,8130,17689
355,8359,17669
356,8352,17752
357,8460,17831
358,8677,18009
359,8633,18033
360,8784,18177
361,9788,18251
362,8684,18442
363,8606,18543
364,8696,18563
365,8697,18674
366,8736,18756
367,8789,18796
368,8855,18929
369,8974,19181
370,8834,19116
371,8858,19200
372,9556,19306
373,8981,19369
374,9083,19497
375,9061,19566
376,9098,19687
377,9220,19772
378,9223,19947
379,9509,20040
380,9564,20175
381,9636,20207
382,10054,20338
383,10889,20325
384,9396,20630
385,9391,20625
386,9390,20670
387,9391,20898
388,9446,20852
389,9539,20989
390,9750,21121
391,9930,21159
392,9895,21308
393,10341,21404
394,10831,21510
395,9664,21545
396,9634,21685
397,9757,21761
398,10102,21894
399,10069,22088
400,9660,22178
401,9783,22349
402,9702,22319
403,9838,22404
404,10674,22506
405,9893,22690
406,9997,22733
407,10008,22994
408,10147,23010
409,9970,23240
410,10087,23882
411,10034,24184
412,9744,24129
413,9858,24430
414,10342,24410
415,9779,24507
416,9712,24460
417,9817,24657
418,9819,24729
419,9980,24830
420,10287,24962
421,10475,25131
422,10541,25212
423,10830,25377
424,11217,25378
425,10063,25551
426,10123,25778
427,10016,25864
428,10055,25864
429,10136,26018
430,10133,26118
431,10313,26241
432,10438,26319
433,11587,26435
434,10190,26493
435,10285,26757
436,10195,26700
437,10271,26918
438,10292,26934
439,10561,27251
440,10337,27290
441,10359,27343
442,10359,27427
443,10454,27623
444,10441,27641
445,10499,27968
446,10767,27869
447,10806,28204
448,10945,28070
449,11298,28258
450,11303,28347
451,11011,28915
452,11549,28668
453,10696,28857
454,10790,28786
455,10813,29149
456,11097,29069
457,11188,29355
458,11618,29403
459,11517,29607
460,11297,29566
461,12247,29841
462,10945,29868
463,10955,30027
464,10825,30072
465,10978,30238
466,11047,30217
467,11422,30495
468,11459,30458
469,11840,30669
470,12312,30732
471,11149,31058
472,11193,30999
473,11374,31405
474,11364,31843
475,11299,31680
476,11206,31522
477,11833,31776
478,11535,31727
479,11237,31886
480,11339,31946
481,11784,32419
482,11928,32333
483,11929,32668
484,11696,32740
485,11502,32761
486,11651,32746
487,12450,32977
488,11591,32950
489,11564,33210
490,11557,33181
491,11696,33527
492,12045,33446
493,12221,33833
494,12416,33765
495,12192,34387
496,11574,34031
497,11673,34149
498,11758,34189
499,12148,34530
500,12416,34470
