,MergeSort,SelectionSort
1,55,48
2,98,52
3,127,52
4,105,33
5,112,26
6,130,26
7,140,28
8,151,34
9,168,35
10,193,38
11,232,43
12,261,47
13,264,52
14,288,57
15,293,62
16,333,68
17,455,80
18,349,83
19,360,88
20,376,95
21,406,105
22,418,109
23,443,117
24,526,125
25,548,134
26,593,142
27,601,150
28,614,160
29,633,173
30,572,179
31,593,189
32,612,200
33,635,210
34,654,222
35,683,238
36,727,263
37,728,286
38,757,299
39,782,326
40,790,355
41,823,388
42,883,410
43,906,432
44,911,418
45,932,437
46,954,457
47,989,541
48,1050,564
49,1038,580
50,1074,604
51,1090,621
52,1103,638
53,1165,667
54,1172,683
55,1178,699
56,1196,726
57,1259,780
58,1250,790
59,1286,822
60,1285,834
61,1350,863
62,1327,885
63,1347,913
64,1370,940
65,1417,986
66,1432,992
67,1462,1037
68,1511,1072
69,1518,1104
70,1528,1114
71,1558,1153
72,1600,1177
73,1610,1207
74,1648,1252
75,1690,1272
76,1690,1305
77,1699,1315
78,1772,1345
79,1760,1383
80,1759,1402
81,1829,1436
82,1857,1479
83,1865,1501
84,1960,1536
85,1914,1555
86,1985,1590
87,1964,1622
88,1984,1649
89,2057,1695
90,2068,1730
91,2090,1750
92,2079,1781
93,2115,1814
94,2179,1846
95,2194,1889
96,2236,1874
97,2229,1848
98,2289,1874
99,2280,1989
100,2252,2053
101,2327,2106
102,2323,2128
103,2342,2155
104,2336,2195
105,2376,2230
106,2406,2288
107,2445,2309
108,2422,2340
109,2465,2373
110,2468,2406
111,2535,2454
112,2539,2493
113,2573,2522
114,2571,2551
115,2631,2619
116,2599,2643
117,2645,2685
118,2658,2715
119,2725,2789
120,2660,2790
121,2735,2848
122,2734,2880
123,2760,2918
124,2739,2948
125,2804,3013
126,2831,3041
127,2813,3081
128,2848,3119
129,2895,3178
130,2974,3233
131,2936,3248
132,2966,3292
133,3004,3335
134,3037,3406
135,3088,3454
136,3009,3524
137,3115,3537
138,3193,3600
139,3137,3593
140,3180,3642
141,3249,3715
142,3237,3729
143,3276,3780
144,3253,3821
145,3347,3883
146,3364,3905
147,3354,3955
148,3394,4009
149,3442,4059
150,3470,4091
151,3472,4161
152,3501,4194
153,3525,4243
154,3539,4290
155,3580,4343
156,3596,4382
157,3617,4427
158,3635,4496
159,3666,4522
160,3676,4577
161,3711,4633
162,3795,4687
163,3817,4750
164,3865,4804
165,3894,4869
166,3917,4886
167,3906,4958
168,3939,4999
169,3984,5051
170,4020,5100
171,4050,5154
172,4045,5194
173,4146,5290
174,4153,5325
175,4129,5378
176,4166,5443
177,4192,5463
178,4249,5528
179,4274,5570
180,4312,5625
181,4317,5682
182,4381,5739
183,4441,5840
184,4447,5897
185,4511,5916
186,4528,5960
187,4528,6023
188,4512,6073
189,4576,6121
190,4628,6182
191,4654,6243
192,4681,6328
193,4718,6379
194,4768,6423
195,4784,6480
196,4777,6572
197,4855,6592
198,4870,6640
199,4875,6723
200,4881,6779
