,MergeSort,SelectionSort
1,82,56
2,194,52
3,109,58
4,155,73
5,178,88
6,220,104
7,310,127
8,267,150
9,286,154
10,245,103
11,387,73
12,398,80
13,385,81
14,343,85
15,377,97
16,453,95
17,486,101
18,515,103
19,506,112
20,1705,116
21,482,137
22,507,134
23,555,141
24,576,158
25,574,152
26,599,164
27,627,166
28,682,179
29,747,177
30,726,195
31,799,196
32,734,194
33,758,177
34,759,189
35,775,215
36,743,209
37,828,208
38,821,218
39,863,230
40,875,237
41,848,250
42,991,260
43,1010,286
44,942,289
45,1072,298
46,1091,300
47,1089,329
48,1136,325
49,1095,336
50,1185,349
51,1240,360
52,1203,387
53,1936,405
54,1109,410
55,1164,421
56,1284,471
57,1308,473
58,1266,519
59,1275,523
60,1311,547
61,1341,567
62,1325,578
63,1338,585
64,1386,627
65,1395,653
66,1379,650
67,1398,670
68,1421,692
69,1456,742
70,1479,759
71,1522,814
72,1539,814
73,1827,807
74,1907,868
75,1873,860
76,1887,914
77,1888,1028
78,1928,1040
79,2074,1030
80,2056,1080
81,2019,1015
82,2092,1072
83,2124,1050
84,2039,1120
85,2375,1198
86,2335,1217
87,2520,1250
88,1880,1231
89,1976,1291
90,1983,1309
91,1993,1300
92,2017,1342
93,2022,1358
94,2133,1457
95,2176,1432
96,2160,1522
97,2133,1491
98,2211,1535
99,2266,1528
100,2187,1575
101,2241,1573
102,2257,1744
103,2337,1742
104,2255,1751
105,2462,1878
106,2426,1873
107,2404,1905
108,2394,1919
109,2381,1892
110,2863,1996
111,2434,1975
112,2502,2051
113,2446,2085
114,2510,2082
115,2528,2105
116,2507,2124
117,2531,2141
118,2548,2172
119,2610,2225
120,2565,2275
121,2632,2344
122,2638,2320
123,2644,2349
124,2744,2447
125,2758,2469
126,2750,2502
127,2751,2518
128,2731,2557
129,3148,2700
130,2861,2637
131,2918,2756
132,2993,2831
133,2964,2771
134,3011,2873
135,3053,2905
136,3030,2921
137,3056,2955
138,3164,2986
139,3136,3052
140,3172,3116
141,3232,3171
142,3378,3250
143,3337,3232
144,3271,3209
145,3533,3293
146,3263,3231
147,3276,3321
148,3254,3323
149,3281,3343
150,3377,3397
151,3357,3440
152,3336,3474
153,3389,3481
154,3428,3519
155,3422,3547
156,3464,3628
157,3484,3665
158,3511,3724
159,3862,3912
160,3686,3883
161,3616,3834
162,3803,4028
163,3794,4060
164,3729,3993
165,3730,4006
166,3730,4025
167,3801,4093
168,3789,4154
169,3955,4159
170,3851,4203
171,3770,4153
172,4261,4343
173,3844,4299
174,3856,4269
175,3972,4387
176,3930,4413
177,3962,4439
178,4000,4425
179,3993,4484
180,4045,4535
181,4062,4592
182,4086,4609
183,4135,4662
184,4487,4736
185,4230,4771
186,4246,4790
187,4446,5052
188,4291,4917
189,4323,5015
190,4404,5054
191,4341,5037
192,4466,5165
193,4466,5164
194,4503,5200
195,4598,5342
196,5234,5601
197,4717,5434
198,4779,5914
199,4688,5959
200,4688,5965
201,4694,6008
202,4758,6075
203,4867,6217
204,4835,6271
205,4804,6290
206,5221,6347
207,5169,6772
208,5034,6653
209,4964,6688
210,4914,6519
211,4960,6637
212,4943,6722
213,5015,6760
214,5147,6936
215,5088,6859
216,5454,6947
217,5126,6996
218,5190,7084
219,5090,7025
220,5101,7177
221,5148,7219
222,5163,7253
223,5219,7379
224,5332,7544
225,5649,7895
226,5628,7586
227,5574,7805
228,5373,7588
229,5398,7730
230,5561,7882
231,5589,7943
232,5475,7898
233,5561,7958
234,5560,8028
235,5899,8108
236,5519,8113
237,5548,8158
238,5563,8234
239,5575,8323
240,5601,8423
241,6000,8878
242,5840,8818
243,5884,8899
244,6179,8840
245,5736,8694
246,5853,8915
247,5809,8847
248,5809,8927
249,5814,8991
250,5860,8971
251,5874,9088
252,5963,9279
253,6535,9282
254,5971,9416
255,6337,9910
256,6065,9605
257,6363,9888
258,6021,9569
259,6089,9803
260,6211,9904
261,6169,9921
262,6147,9874
263,6218,10025
264,6152,10007
265,6352,10208
266,6405,10320
267,6244,10218
268,6519,10725
269,6763,10786
270,6473,10670
271,6413,10581
272,6379,10608
273,6449,10749
274,6459,10751
275,6492,10825
276,6581,11033
277,6846,11017
278,6781,11321
279,6614,11080
280,6605,11197
281,6950,11723
282,6974,11791
283,6750,11630
284,7203,11756
285,6764,11574
286,6988,11969
287,6821,11670
288,6846,11837
289,6860,11887
290,6930,12175
291,7198,12083
292,7179,12418
293,7158,12397
294,6975,12246
295,7019,12348
296,7019,12355
297,7174,12710
298,7304,12690
299,7126,12752
300,7081,12740
301,7197,12916
302,7206,12861
303,7384,13293
304,7322,13327
305,7519,13249
306,7236,13260
307,7353,13522
308,7398,13625
309,7443,13662
310,7352,13532
311,7519,13685
312,7475,13793
313,7433,13840
314,7698,14297
315,7624,14142
316,7569,14156
317,7510,14155
318,7661,14368
319,7692,14344
320,7624,14524
321,7681,14565
322,7660,14648
323,7647,14609
324,7930,15130
325,8382,15308
326,7813,14896
327,7926,15173
328,8022,15471
329,7855,15170
330,7975,15266
331,8395,15631
332,7932,15500
333,8318,15969
334,8045,15781
335,7972,15700
336,8081,15838
337,8492,16119
338,8253,16090
339,8234,16117
340,8238,16121
341,8299,16343
342,8487,16732
343,8751,16681
344,8526,16737
345,8375,16640
346,8546,17007
347,8390,16718
348,8345,16937
349,8687,17243
350,8449,17174
351,8811,17735
352,8528,17338
353,8520,17390
354,8560,17420
355,8918,17661
356,8605,17596
357,8782,17907
358,8720,17855
359,8918,18128
360,8896,18328
361,9149,18309
362,8872,18206
363,8887,18576
364,9038,18621
365,8871,18513
366,9190,18602
367,8952,18748
368,9085,19078
369,9128,19118
370,9058,18944
371,9110,19284
372,9475,19532
373,9135,19500
374,9210,19507
375,9211,19711
376,9399,19851
377,9604,20158
378,9531,20224
379,9376,20109
380,9288,19822
381,9405,20150
382,9623,20346
383,9526,20696
384,9271,20266
385,9470,20589
386,9684,20787
387,9476,20736
388,9861,20930
389,9679,20841
390,9826,21300
391,9893,21484
392,9735,21208
393,10122,21371
394,9728,21532
395,9715,21612
396,9732,21750
