,MergeSort,SelectionSort
1,254,162
2,708,250
3,858,266
4,1133,366
5,1483,475
6,2333,625
7,2312,758
8,3558,974
9,2570,1095
10,3270,1304
11,2921,1683
12,641,1720
13,533,1979
14,712,2254
15,587,2495
16,883,1383
17,824,424
18,670,454
19,891,500
20,925,575
21,1029,616
22,1045,671
23,912,733
24,1150,758
25,1379,791
26,1212,908
27,1208,933
28,1308,1020
29,1325,1071
30,1324,1125
31,1395,1162
32,1374,1266
33,1646,1329
34,1529,1399
35,1404,1533
36,1845,1579
37,1474,1633
38,7433,1733
39,1987,1833
40,2412,2012
41,2012,2025
42,2062,2129
43,2041,2162
44,2037,2233
45,2133,2350
46,1979,2420
47,2150,2529
48,2316,2750
49,2404,2816
50,2420,2954
51,2504,2970
52,2579,3091
53,2354,3212
54,2524,3333
55,2641,3516
56,2624,3687
57,2683,3699
58,2779,3916
59,3095,4429
60,3091,4195
61,3012,4345
62,3279,4337
63,2929,4475
64,2945,4587
65,224270,5004
66,2824,4899
67,2933,5025
68,2941,5291
69,2966,5283
70,2974,5370
71,2933,5437
72,2966,5579
73,3208,5754
74,3225,5908
75,3212,6066
76,3700,6229
77,3771,6367
78,3716,6550
79,3891,6745
80,3829,6875
81,4125,7054
82,4004,7224
83,3991,7412
84,3904,7574
85,4299,7758
86,4158,7950
87,4579,8145
88,4529,8316
89,4341,8554
90,4529,8695
91,4558,8896
92,4750,9075
93,4408,9266
94,4474,9429
95,4470,9641
96,4466,9841
97,4275,10104
98,4279,10279
99,4391,10445
100,4291,10679
101,4591,10887
102,4533,11079
103,4516,11325
104,4571,11537
105,4658,11729
106,4695,11962
107,4683,12179
108,4725,12391
109,4808,12629
110,4904,12895
111,4862,13112
112,5095,13529
113,5066,13608
114,5075,13845
115,5137,14095
116,5183,14324
117,5274,14633
118,5258,14804
119,5274,15091
120,5462,15408
121,5454,15620
122,5533,15854
123,5479,16145
124,5495,16383
125,5550,16591
126,10412,17533
127,6566,17879
128,6916,19508
129,6154,18820
130,6112,18650
131,6804,20541
132,6541,18454
133,7699,18791
134,6516,19408
135,6087,19291
136,6137,19595
137,6370,19887
138,6191,20145
139,6316,20425
140,6262,20745
141,6458,21029
142,6412,21404
143,6533,21633
144,6512,22058
145,6675,22271
146,6729,22574
147,6691,22912
148,6808,23208
149,6862,23504
150,6970,23920
151,6954,24383
152,7354,24450
153,7104,24770
154,7204,25108
155,7216,25391
156,7225,25708
157,7362,26283
158,8104,32716
159,8541,31037
160,10199,33154
161,10179,30099
162,8304,27733
163,8600,28066
164,7625,29004
165,7837,29137
166,7804,29108
167,8754,31425
168,7775,29850
169,8141,32512
170,8125,31670
171,8970,30925
172,8112,32516
173,8616,33379
174,8400,32150
175,8441,32587
176,8500,33262
177,8471,33154
178,8879,35304
179,8896,36037
180,9066,35300
181,8929,36137
182,9212,36487
183,9041,36466
184,9262,36883
185,9658,39012
186,9275,37866
187,9666,38691
188,9458,38758
189,9595,38912
190,10708,41246
191,9462,41770
192,10179,42466
193,10229,41833
194,9870,41116
195,10433,41783
196,10845,41816
197,10916,42562
198,11074,42670
199,12316,46874
200,11712,48141
201,12546,49475
202,11941,45958
203,11637,45375
204,11525,46133
205,11412,45762
206,10370,46391
207,10441,46583
208,10579,48591
209,10504,47470
210,10604,48220
211,10612,48399
