,MergeSort,SelectionSort
1,94,62
2,184,50
3,102,56
4,129,68
5,159,79
6,519,200
7,384,155
8,204,136
9,295,131
10,255,69
11,352,74
12,399,77
13,401,81
14,350,92
15,478,98
16,476,96
17,519,114
18,548,112
19,561,118
20,1420,117
21,588,130
22,589,131
23,633,135
24,651,148
25,541,148
26,585,157
27,560,165
28,704,177
29,720,177
30,710,192
31,815,209
32,772,174
33,741,174
34,758,190
35,755,189
36,803,217
37,871,208
38,768,218
39,854,225
40,933,238
41,946,275
42,1031,258
43,1060,285
44,996,299
45,1096,295
46,1046,315
47,1168,306
48,1187,330
49,1108,342
50,1184,347
51,1244,360
52,1275,381
53,1645,386
54,1138,431
55,1168,439
56,1251,503
57,1447,519
58,1243,572
59,1252,572
60,1301,605
61,1292,614
62,1306,651
63,1355,688
64,1390,730
65,1362,722
66,1398,759
67,1413,788
68,1431,795
69,1453,844
70,1506,858
71,1514,913
72,1545,894
73,2612,978
74,2955,1111
75,2642,1007
76,2606,1010
77,2575,1038
78,2523,1133
79,2493,1119
80,2471,1101
81,2897,1188
82,2862,1165
83,2872,1188
84,2846,1298
85,2837,1210
86,2858,1266
87,2324,1383
88,1915,1380
89,1947,1404
90,1980,1431
91,2089,1489
92,2088,1520
93,2131,1587
94,2147,1569
95,2224,1632
96,2210,1651
97,2163,1642
98,2183,1649
99,2439,1681
100,2203,1716
101,2719,2006
102,2311,1844
103,2339,1879
104,2363,1867
105,2348,1889
106,2447,1952
107,2437,1947
108,2407,1957
109,2442,1984
110,2752,2022
111,2439,2031
112,2477,2070
113,2504,2128
114,2644,2242
115,2505,2181
116,2569,2241
117,2627,2299
118,2775,2356
119,2648,2366
120,2669,2379
121,2638,2379
122,2740,2483
123,2951,2662
124,2786,2605
125,2786,2569
126,2728,2577
127,2812,2726
128,2836,2673
129,3150,2799
130,2809,2735
131,2845,2738
132,2835,2775
133,2859,2805
134,2911,2866
135,3020,2998
136,2933,2998
137,3118,3072
138,3102,3095
139,3280,3260
140,3589,3498
141,3309,3339
142,3224,3254
143,3195,3201
144,3198,3238
145,3284,3355
146,3306,3355
147,3269,3363
148,3272,3425
149,3344,3443
150,3353,3477
151,3402,3555
152,3479,3456
153,3425,3559
154,3455,3609
155,3698,3832
156,3420,3621
157,3429,3585
158,3449,3625
159,3846,3759
160,3489,3753
161,3492,3770
162,3516,3771
163,3581,3849
164,3561,3855
165,3626,3945
166,3624,3951
167,3633,3975
168,3646,4013
169,3820,4139
170,4240,4427
171,3921,4276
172,4133,4250
173,3835,4246
174,3850,4264
175,3868,4298
176,3986,4502
177,3925,4439
178,4037,4550
179,4084,4616
180,4325,4846
181,4532,5484
182,4225,5219
183,4228,5247
184,4633,5342
185,4370,5368
186,4397,5500
187,4372,5487
188,4454,5619
189,4422,5680
190,4457,5644
191,4476,5701
192,4592,5866
193,4699,5912
194,4556,5824
195,4926,5910
196,4597,6008
197,4594,6093
198,4665,6113
199,4780,6259
200,4748,6308
